173 -> 1187 # ('tile.bop.longGrass', 'BiomesOPlenty:longGrass', 'namespace') 
2541 -> 2844 # ('tile.openblocks.guide', 'OpenBlocks:guide', 'namespace') 
2542 -> 2846 # ('tile.openblocks.elevator', 'OpenBlocks:elevator', 'namespace') 
2543 -> 2848 # ('tile.openblocks.heal', 'OpenBlocks:heal', 'namespace') 
# 2544 -> (None, 'tile.openblocks.lightbox', 'OpenBlocks:lightbox', 'no match')
2545 -> 2849 # ('tile.openblocks.target', 'OpenBlocks:target', 'namespace') 
2546 -> 2850 # ('tile.openblocks.grave', 'OpenBlocks:grave', 'namespace') 
2547 -> 2851 # ('tile.openblocks.flag', 'OpenBlocks:flag', 'namespace') 
2548 -> 2852 # ('tile.openblocks.tank', 'OpenBlocks:tank', 'namespace') 
2549 -> 2853 # ('tile.openblocks.trophy', 'OpenBlocks:trophy', 'manual') 
2550 -> 2854 # ('tile.openblocks.beartrap', 'OpenBlocks:beartrap', 'namespace') 
2551 -> 2855 # ('tile.openblocks.sprinkler', 'OpenBlocks:sprinkler', 'namespace') 
2560 -> 3765 # ('tile.newCrops1', 'ForgottenNature:newCrops1', 'manual') 
2561 -> 3764 # ('tile.Crystal Mushroom Block', 'ForgottenNature:cMushroomBlock', 'manual') 
2562 -> 3763 # ('tile.Crystal Mushroom', 'ForgottenNature:cMushroom', 'manual') 
2563 -> 3793 # ('tile.Flowers', 'ForgottenNature:newflowers', 'manual') 
2564 -> 3769 # ('tile.newCrops5', 'ForgottenNature:newCrops5', 'manual') 
2565 -> 3768 # ('tile.newCrops4', 'ForgottenNature:newCrops4', 'manual') 
2566 -> 3815 # ('tile.Half Plank', 'ForgottenNature:halfPlank', 'manual') 
2567 -> 3816 # ('tile.Half Plank_', 'ForgottenNature:halfPlank2', 'manual') 
2568 -> 3819 # ('tile.Half block', 'ForgottenNature:FNHalfStone', 'manual') 
2569 -> 3824 # ('tile.flowerPot1', 'ForgottenNature:flowerPot', 'manual') 
# 2570 -> (None, 'tile.flowerPot2', 'tile.flowerPot2', 'no match')
# 2571 -> (None, 'tile.flowerPot3', 'tile.flowerPot3', 'no match')
# 2572 -> (None, 'tile.flowerPot4', 'tile.flowerPot4', 'no match')
2573 -> 3821 # ('tile.glass', 'ForgottenNature:nGlass/tile.glass', 'direct') 
# 2574 -> (None, 'tile.Half Plank__', 'tile.Half Plank__', 'no match')
# 2575 -> (None, 'tile.Half Plank___', 'tile.Half Plank___', 'no match')
2576 -> 3820 # ('tile.Half block_', 'ForgottenNature:FNdHalfStone', 'manual') 
2580 -> 3794 # ('tile.stairsWood0', 'ForgottenNature:FNWStairs1', 'manual') 
2581 -> 3795 # ('tile.stairsWood1', 'ForgottenNature:FNWStairs2', 'manual') 
2582 -> 3796 # ('tile.stairsWood2', 'ForgottenNature:FNWStairs3', 'manual') 
2583 -> 3797 # ('tile.stairsWood3', 'ForgottenNature:FNWStairs4', 'manual') 
2584 -> 3798 # ('tile.stairsWood4', 'ForgottenNature:FNWStairs5', 'manual') 
2585 -> 3799 # ('tile.stairsWood5', 'ForgottenNature:FNWStairs6', 'manual') 
2586 -> 3800 # ('tile.stairsWood6', 'ForgottenNature:FNWStairs7', 'manual') 
2587 -> 3801 # ('tile.stairsWood7', 'ForgottenNature:FNWStairs8', 'manual') 
# 2588 -> (None, 'tile.stairsWood8', 'tile.stairsWood8', 'no match')
2589 -> 3802 # ('tile.stairsWood9', 'ForgottenNature:FNWStairs10', 'manual') 
2590 -> 3803 # ('tile.stairsWood10', 'ForgottenNature:FNWStairs11', 'manual') 
2591 -> 3804 # ('tile.stairsWood11', 'ForgottenNature:FNWStairs12', 'manual') 
2592 -> 3805 # ('tile.stairsWood12', 'ForgottenNature:FNWStairs13', 'manual') 
2593 -> 3806 # ('tile.stairsWood13', 'ForgottenNature:FNWStairs14', 'manual') 
2594 -> 3807 # ('tile.stairsWood14', 'ForgottenNature:FNWStairs15', 'manual') 
2595 -> 3809 # ('tile.stairsStone1', 'ForgottenNature:FNSStairs1', 'manual') 
2596 -> 3810 # ('tile.stairsStone2', 'ForgottenNature:FNSStairs2', 'manual') 
2597 -> 3811 # ('tile.stairsStone3', 'ForgottenNature:FNSStairs3', 'manual') 
2598 -> 3812 # ('tile.stairsStone4', 'ForgottenNature:FNSStairs4', 'manual') 
2600 -> 3808 # ('tile.Stone2', 'ForgottenNature:FNStone', 'manual') 
2601 -> 3767 # ('tile.newCrops3', 'ForgottenNature:newCrops3', 'manual') 
2602 -> 3766 # ('tile.newCrops2', 'ForgottenNature:newCrops2', 'manual') 
2603 -> 3789 # ('tile.crystalBlock', 'ForgottenNature:crystalBlock', 'manual') 
2604 -> 3788 # ('tile.crystalStone', 'ForgottenNature:crystalStone', 'manual') 
2605 -> 3790 # ('tile.crystalWood', 'ForgottenNature:crystalWood', 'manual') 
2606 -> 3792 # ('tile.fence', 'ForgottenNature:nFence/tile.fence', 'direct') 
2607 -> 3770 # ('tile.fruit', 'ForgottenNature:FNFruit', 'manual') 
2608 -> 3823 # ('tile.null___________________________', 'Forgotten Nature groundID/oneWayCamo?', 'direct') 
2609 -> 3771 # ('tile.null____________________________', 'Forgotten Nature leafIDIndex+0/red maple', 'direct') 
2610 -> 3772 # ('tile.null_____________________________', 'Forgotten Nature leafIDIndex+1/sequoia', 'direct') 
2611 -> 3773 # ('tile.null______________________________', 'Forgotten Nature leafIDIndex+2/swamp willow', 'direct') 
2612 -> 3774 # ('tile.null_______________________________', 'Forgotten Nature leafIDIndex+3/beech', 'direct') 
2613 -> 3775 # ('tile.null________________________________', 'Forgotten Nature leafIDIndex+4/lemon', 'direct') 
2614 -> 3776 # ('tile.null_________________________________', 'Forgotten Nature leafIDIndex+5/huckleberry', 'direct') 
2615 -> 3791 # ('tile.null__________________________________', 'Forgotten Nature leafIDIndex+6/crystal', 'direct') 
2616 -> 3777 # ('tile.null___________________________________', 'Forgotten Nature leafIDIndex+7/nether ash', 'direct') 
2620 -> 3778 # ('tile.null____________________________________', 'Forgotten Nature logIDindex+0/cherry log', 'direct') 
2621 -> 3779 # ('tile.null_____________________________________', 'Forgotten Nature logIDindex+1/desert willow', 'direct') 
2622 -> 3780 # ('tile.null______________________________________', 'Forgotten Nature logIDindex+2/bukkit log', 'direct') 
2623 -> 3781 # ('tile.null_______________________________________', 'Forgotten Nature logIDindex+3/cherry log*', 'direct') 
2624 -> 3782 # ('tile.null________________________________________', 'Forgotten Nature logIDindex+4/nether ash log*', 'direct') 
2630 -> 3786 # ('tile.null_________________________________________', 'Forgotten Nature plankID/ForgottenNature:FNPlanks1/brown plank', 'direct') 
2631 -> 3787 # ('tile.null__________________________________________', 'Forgotten Nature plankID2/ForgottenNature:FNPlanks2/herringbone', 'direct') 
2632 -> 3825 # ('tile.Rope', 'ForgottenNature:rope', 'manual') 
2633 -> 3783 # ('tile.null___________________________________________', 'Forgotten Nature sapIDindex+0/desert ironwood sapling', 'direct') 
2634 -> 3784 # ('tile.null____________________________________________', 'Forgotten Nature sapIDindex+1/palm sapling', 'direct') 
2635 -> 3785 # ('tile.null_____________________________________________', 'Forgotten Nature sapIDindex+2/huckleberry bushling', 'direct') 
2640 -> 3762 # ('tile.null______________________________________________', 'Forgotten Nature torchID/ForgottenNature:Crystal Torch', 'direct') 
2680 -> 1423 # ('tile.BiblioWoodFstrack2', 'BiblioWoodsForestry:BiblioWoodFstrack2', 'anyspace') 
2681 -> 1422 # ('tile.BiblioWoodFstrack', 'BiblioWoodsForestry:BiblioWoodFstrack', 'anyspace') 
2682 -> 1431 # ('tile.BiblioWoodFsttable2', 'BiblioWoodsForestry:BiblioWoodFsttable2', 'anyspace') 
2683 -> 1430 # ('tile.BiblioWoodFsttable', 'BiblioWoodsForestry:BiblioWoodFsttable', 'anyspace') 
2684 -> 1421 # ('tile.BiblioWoodFstshelf2', 'BiblioWoodsForestry:BiblioWoodFstshelf2', 'anyspace') 
2685 -> 1420 # ('tile.BiblioWoodFstshelf', 'BiblioWoodsForestry:BiblioWoodFstshelf', 'anyspace') 
2686 -> 1419 # ('tile.BiblioWoodFstpotshelf2', 'BiblioWoodsForestry:BiblioWoodFstpotshelf2', 'anyspace') 
2687 -> 1418 # ('tile.BiblioWoodFstpotshelf', 'BiblioWoodsForestry:BiblioWoodFstpotshelf', 'anyspace') 
2688 -> 1427 # ('tile.BiblioWoodFstlabel2', 'BiblioWoodsForestry:BiblioWoodFstlabel2', 'anyspace') 
2689 -> 1426 # ('tile.BiblioWoodFstlabel', 'BiblioWoodsForestry:BiblioWoodFstlabel', 'anyspace') 
# 2690 -> (None, 'tile.BiblioWoodFstcase5', 'BiblioCraft:BiblioWoodFstcase5', 'no match')
# 2691 -> (None, 'tile.BiblioWoodFstcase4', 'BiblioCraft:BiblioWoodFstcase4', 'no match')
# 2692 -> (None, 'tile.BiblioWoodFstcase3', 'BiblioCraft:BiblioWoodFstcase3', 'no match')
# 2693 -> (None, 'tile.BiblioWoodFstcase2', 'BiblioCraft:BiblioWoodFstcase2', 'no match')
2694 -> 1425 # ('tile.BiblioWoodFstcase1', 'BiblioWoodsForestry:BiblioWoodFstcase1', 'anyspace') 
2695 -> 1424 # ('tile.BiblioWoodFstcase0', 'BiblioWoodsForestry:BiblioWoodFstcase0', 'anyspace') 
2696 -> 1429 # ('tile.BiblioWoodFstdesk2', 'BiblioWoodsForestry:BiblioWoodFstdesk2', 'anyspace') 
2697 -> 1428 # ('tile.BiblioWoodFstdesk', 'BiblioWoodsForestry:BiblioWoodFstdesk', 'anyspace') 
2698 -> 1417 # ('tile.BiblioWoodFstBookcase2', 'BiblioWoodsForestry:BiblioWoodFstBookcase2', 'anyspace') 
2699 -> 1416 # ('tile.BiblioWoodFstBookcase', 'BiblioWoodsForestry:BiblioWoodFstBookcase', 'anyspace') 
# 2700 -> (None, 'tile.BiblioWoodBookcase', 'BiblioCraft:BiblioWoodBookcase', 'no match')
# 2701 -> (None, 'tile.BiblioWooddesk', 'BiblioCraft:BiblioWooddesk', 'no match')
2702 -> 1456 # ('tile.BiblioWoodcase0', 'BiblioWoodsNatura:BiblioWoodcase0', 'anyspace') 
# 2703 -> (None, 'tile.BiblioWoodcase1', 'BiblioCraft:BiblioWoodcase1', 'no match')
# 2704 -> (None, 'tile.BiblioWoodcase2', 'BiblioCraft:BiblioWoodcase2', 'no match')
# 2705 -> (None, 'tile.BiblioWoodcase3', 'BiblioCraft:BiblioWoodcase3', 'no match')
# 2706 -> (None, 'tile.BiblioWoodlabel', 'BiblioCraft:BiblioWoodlabel', 'no match')
# 2707 -> (None, 'tile.BiblioWoodpotshelf', 'BiblioCraft:BiblioWoodpotshelf', 'no match')
# 2708 -> (None, 'tile.BiblioWoodshelf', 'BiblioCraft:BiblioWoodshelf', 'no match')
# 2709 -> (None, 'tile.BiblioWoodtable', 'BiblioCraft:BiblioWoodtable', 'no match')
# 2710 -> (None, 'tile.BiblioWoodrack', 'BiblioCraft:BiblioWoodrack', 'no match')
# 2727 -> (None, 'tile.altarActive', 'tile.altarActive', 'no match')
# 2728 -> (None, 'tile.altarIdle', 'tile.altarIdle', 'no match')
2729 -> 2973 # ('tile.lilypad', 'xreliquary:lilypad', 'anyspace') 
# 2730 -> (None, 'tile.wraithNode', 'tile.wraithNode', 'no match')
# 2825 -> (None, 'item.flowerPot1', 'flowerPot1', 'no match')
# 2826 -> (None, 'item.flowerPot2', 'flowerPot2', 'no match')
# 2827 -> (None, 'item.flowerPot3', 'flowerPot3', 'no match')
# 2828 -> (None, 'item.flowerPot4', 'flowerPot4', 'no match')
2829 -> 2430 # ('tile.blockSurreal', 'ihl:oreGypsum', 'manual') 
2830 -> 2929 # ('tile.bau5ProjectBench', 'projectbench:pb_block', 'manual') 
2850 -> 3977 # ('tile.powerconverters.common', 'PowerConverters3:powerconverters.common', 'anyspace') 
# 2851 -> (None, 'tile.powerconverters.bc', 'PowerConverters3:bc', 'no match')
2852 -> 3979 # ('tile.powerconverters.ic2', 'PowerConverters3:powerconverters.ic2', 'anyspace') 
2853 -> 3980 # ('tile.powerconverters.steam', 'PowerConverters3:powerconverters.steam', 'anyspace') 
2872 -> 1031 # ('tile.BiblioTable', 'BiblioCraft:BiblioTable', 'namespace') 
2873 -> 1035 # ('tile.BiblioLantern', 'BiblioCraft:BiblioLantern', 'namespace') 
2874 -> 1037 # ('tile.BiblioLamp', 'BiblioCraft:BiblioLamp', 'namespace') 
2875 -> 1032 # ('tile.BiblioArmorStand', 'BiblioCraft:Armor Stand', 'manual') 
2876 -> 1023 # ('tile.Bibliotheca', 'BiblioCraft:Bibliotheca', 'namespace') 
2878 -> 1026 # ('tile.BiblioShelf', 'BiblioCraft:BiblioShelf', 'namespace') 
2879 -> 1025 # ('tile.BiblioPotionShelf', 'BiblioCraft:BiblioPotionShelf', 'namespace') 
2880 -> 1028 # ('tile.BiblioCase', 'BiblioCraft:BiblioCase', 'namespace') 
2881 -> 1027 # ('tile.BiblioRack', 'BiblioCraft:BiblioRack', 'namespace') 
2882 -> 1029 # ('tile.BiblioLabel', 'BiblioCraft:BiblioLabel', 'namespace') 
2883 -> 1030 # ('tile.BiblioDesk', 'BiblioCraft:BiblioDesk', 'namespace') 
2884 -> 1034 # ('tile.BiblioPress', 'BiblioCraft:Printing Press', 'manual') 
2885 -> 1033 # ('tile.BiblioType', 'BiblioCraft:Typesetting Machine', 'manual') 
3119 -> 568 # ('tile.mfr.liquid.chocolatemilk.still', 'MineFactoryReloaded:chocolatemilk.still', 'manual') 
3120 -> 535 # ('tile.mfr.machine.0', 'MineFactoryReloaded:machine.0', 'namespace') 
3121 -> 533 # ('tile.mfr.conveyor', 'MineFactoryReloaded:conveyor', 'namespace') 
3122 -> 548 # ('tile.mfr.rubberwood.log', 'MineFactoryReloaded:rubberwood.log', 'namespace') 
3123 -> 549 # ('tile.mfr.rubberwood.leaves', 'MineFactoryReloaded:rubberwood.leaves', 'namespace') 
3124 -> 547 # ('tile.mfr.rubberwood.sapling', 'MineFactoryReloaded:rubberwood.sapling', 'namespace') 
3125 -> 544 # ('tile.mfr.rail.cargo.dropoff', 'MineFactoryReloaded:rail.cargo.dropoff', 'namespace') 
3126 -> 543 # ('tile.mfr.rail.cargo.pickup', 'MineFactoryReloaded:rail.cargo.pickup', 'namespace') 
3127 -> 546 # ('tile.mfr.rail.passenger.dropoff', 'MineFactoryReloaded:rail.passenger.dropoff', 'namespace') 
3128 -> 545 # ('tile.mfr.rail.passenger.pickup', 'MineFactoryReloaded:rail.passenger.pickup', 'namespace') 
3129 -> 550 # ('tile.mfr.stainedglass.block', 'MineFactoryReloaded:stainedglass.block', 'namespace') 
3130 -> 551 # ('tile.mfr.stainedglass.pane', 'MineFactoryReloaded:stainedglass.pane', 'namespace') 
3131 -> 536 # ('tile.mfr.machine.1', 'MineFactoryReloaded:machine.1', 'namespace') 
3132 -> 552 # ('tile.mfr.road', 'MineFactoryReloaded:road', 'namespace') 
3133 -> 555 # ('tile.mfr.decorativebrick', 'MineFactoryReloaded:stone', 'manual') 
3134 -> 555 # ('tile.mfr.decorativestone', 'MineFactoryReloaded:stone', 'manual') 
3135 -> 561 # ('tile.mfr.liquid.milk.still', 'MineFactoryReloaded:milk.still', 'namespace') 
3136 -> 566 # ('tile.mfr.liquid.meat.still', 'MineFactoryReloaded:meat.still', 'namespace') 
3137 -> 562 # ('tile.mfr.liquid.sludge.still', 'MineFactoryReloaded:sludge.still', 'namespace') 
3138 -> 567 # ('tile.mfr.liquid.pinkslime.still', 'MineFactoryReloaded:pinkslime.still', 'namespace') 
3139 -> 3967 # ('tile.netherores.ore.0', 'ProjRed|Exploration:projectred.exploration.ore', 'manual') 
3140 -> 3958 # ('tile.netherores.ore.1', 'miscutils:blockStoneoreFluorite', 'manual') 
3141 -> 3960 # ('tile.netherores.hellfish', 'miscutils:blockHellFire', 'manual') 
3142 -> 569 # ('tile.mfr.liquid.mushroomsoup.still', 'MineFactoryReloaded:mushroomsoup.still', 'namespace') 
3143 -> 565 # ('tile.mfr.liquid.biofuel.still', 'MineFactoryReloaded:biofuel.still', 'namespace') 
3144 -> 540 # ('tile.mfr.cable.redstone', 'MineFactoryReloaded:cable.redstone', 'namespace') 
3145 -> 541 # ('tile.mfr.rednet.logic', 'MineFactoryReloaded:rednet.logic', 'namespace') 
3146 -> 564 # ('tile.mfr.liquid.essence.still', 'MineFactoryReloaded:mobessence.still', 'manual') 
3147 -> 563 # ('tile.mfr.liquid.sewage.still', 'MineFactoryReloaded:sewage.still', 'namespace') 
3148 -> 557 # ('tile.mfr.vinescaffold', 'MineFactoryReloaded:vinescaffold', 'namespace') 
3149 -> 542 # ('tile.mfr.rednet.panel', 'MineFactoryReloaded:rednet.panel', 'namespace') 
# 3348 -> (None, 'tile.cheeseBlock', 'tile.cheeseBlock', 'no match')
3349 -> 1920 # ('tile.parachest', 'GalacticraftCore:tile.parachest', 'anyspace') 
3350 -> 1901 # ('tile.breatheableAir', 'GalacticraftCore:tile.breatheableAir', 'anyspace') 
3351 -> 1897 # ('tile.landingPad', 'GalacticraftCore:tile.landingPad', 'anyspace') 
3352 -> 1898 # ('tile.landingPadFull', 'GalacticraftCore:tile.landingPadFull', 'anyspace') 
3353 -> 1899 # ('tile.unlitTorch', 'GalacticraftCore:tile.unlitTorch', 'anyspace') 
3354 -> 1900 # ('tile.unlitTorchLit', 'GalacticraftCore:tile.unlitTorchLit', 'anyspace') 
# 3355 -> (None, 'tile.distributor', 'tile.distributor', 'no match')
3356 -> 1905 # ('tile.oxygenCompressor', 'GalacticraftCore:tile.oxygenCompressor', 'anyspace') 
3357 -> 1904 # ('tile.oxygenCollector', 'GalacticraftCore:tile.oxygenCollector', 'anyspace') 
# 3358 -> (None, 'tile.refinery', 'tile.refinery', 'no match')
3359 -> 1911 # ('tile.fuelLoader', 'GalacticraftCore:tile.fuelLoader', 'anyspace') 
3360 -> 1907 # ('tile.sealer', 'GalacticraftCore:tile.sealer', 'anyspace') 
3361 -> 1908 # ('tile.oxygenDetector', 'GalacticraftCore:tile.oxygenDetector', 'anyspace') 
3362 -> 1912 # ('tile.cargo', 'GalacticraftCore:tile.cargo', 'anyspace') 
3368 -> 1909 # ('tile.oxygenPipe', 'GalacticraftCore:tile.oxygenPipe', 'anyspace') 
# 3369 -> (None, 'tile.sapling2', 'tile.sapling2', 'no match')
3370 -> 1913 # ('tile.rocketWorkbench', 'GalacticraftCore:tile.rocketWorkbench', 'anyspace') 
3371 -> 1928 # ('tile.fallenMeteor', 'GalacticraftCore:tile.fallenMeteor', 'anyspace') 
# 3372 -> (None, 'tile.decorationblock', 'tile.decorationblock', 'no match')
3373 -> 1915 # ('tile.airLockFrame', 'GalacticraftCore:tile.airLockFrame', 'anyspace') 
3374 -> 1916 # ('tile.airLockSeal', 'GalacticraftCore:tile.airLockSeal', 'anyspace') 
3376 -> 1514 # ('tile.crudeOilMoving', 'BuildCraft|Energy:blockOil', 'manual') 
3377 -> 1514 # ('tile.crudeOilStill', 'BuildCraft|Energy:blockOil', 'manual') 
3378 -> 1919 # ('tile.dummyblock', 'GalacticraftCore:tile.dummyblock', 'anyspace') 
3379 -> 1917 # ('tile.enclosed', 'GalacticraftCore:tile.enclosed', 'anyspace') 
3380 -> 3140 # ('tile.bop.puddle', 'thebetweenlands:puddle', 'manual') 
3381 -> 1213 # ('tile.bop.grave', 'BiomesOPlenty:grave', 'namespace') 
3382 -> 2166 # ('tile.bop.glass', 'ExtraUtilities:etherealglass', 'manual') 
3383 -> 670 # ('tile.bop.altar', 'Botania:altar', 'manual') 
3385 -> 238 # ('tile.bop.springWater', 'IC2:fluidDistilledWater', 'manual') 
3387 -> 2472 # ('tile.bop.liquidPoison', 'ihl:fluidBlueVitriolDissolvedInWater', 'manual') 
# 3388 -> (None, 'tile.bop.holyCobbleStairs', 'BiomesOPlenty:holyCobbleStairs', 'no match')
# 3389 -> (None, 'tile.bop.holyBricksStairs', 'BiomesOPlenty:holyBricksStairs', 'no match')
3390 -> 1231 # ('tile.bop.pineStairs', 'BiomesOPlenty:pineStairs', 'namespace') 
3391 -> 1167 # ('tile.bop.mushrooms', 'BiomesOPlenty:mushrooms', 'namespace') 
3392 -> 1196 # ('tile.bop.wood4', 'BiomesOPlenty:logs4', 'manual') 
3393 -> 1233 # ('tile.bop.jacarandaStairs', 'BiomesOPlenty:jacarandaStairs', 'namespace') 
3394 -> 1169 # ('tile.bop.ivy', 'BiomesOPlenty:ivy', 'namespace') 
3395 -> 1232 # ('tile.bop.hellBarkStairs', 'BiomesOPlenty:hellBarkStairs', 'namespace') 
# 3396 -> (None, 'tile.bop.generic.crystal', 'BiomesOPlenty:generic.crystal', 'no match')
# 3397 -> (None, 'tile.bop.coral', 'BiomesOPlenty:coral', 'no match')
3398 -> 1636 # ('tile.bop.cloud', 'chisel:cloud', 'manual') 
3399 -> 1212 # ('tile.bop.bones', 'BiomesOPlenty:bones', 'namespace') 
3418 -> 1168 # ('tile.bop.willow', 'BiomesOPlenty:willow', 'namespace') 
3429 -> 1184 # ('tile.bop.bamboo', 'BiomesOPlenty:bamboo', 'namespace') 
3449 -> 1170 # ('tile.bop.treeMoss', 'BiomesOPlenty:treeMoss', 'namespace') 
3463 -> 1228 # ('tile.bop.palmStairs', 'BiomesOPlenty:palmStairs', 'namespace') 
3467 -> 1226 # ('tile.bop.magicStairs', 'BiomesOPlenty:magicStairs', 'namespace') 
3471 -> 1223 # ('tile.bop.darkStairs', 'BiomesOPlenty:darkStairs', 'namespace') 
3475 -> 1222 # ('tile.bop.cherryStairs', 'BiomesOPlenty:cherryStairs', 'namespace') 
# 3479 -> (None, 'tile.bop.acaciaStairs', 'BiomesOPlenty:acaciaStairs', 'no match')
3483 -> 1224 # ('tile.bop.firStairs', 'BiomesOPlenty:firStairs', 'namespace') 
3487 -> 1230 # ('tile.bop.willowStairs', 'BiomesOPlenty:willowStairs', 'namespace') 
3491 -> 1229 # ('tile.bop.redwoodStairs', 'BiomesOPlenty:redwoodStairs', 'namespace') 
3495 -> 3126 # ('tile.bop.generic.mud_brick', 'thebetweenlands:mud', 'manual') 
3510 -> 1183 # ('tile.bop.moss', 'BiomesOPlenty:moss', 'namespace') 
3513 -> 2433 # ('tile.bop.amethystOre', 'ihl:orePotassiumFeldspar', 'manual') 
# 3514 -> (None, 'tile.bop.holyStairs', 'BiomesOPlenty:holyStairs', 'no match')
3521 -> 3167 # ('tile.bop.promisedPortal', 'thebetweenlands:portalBark', 'manual') 
3524 -> 1227 # ('tile.bop.mangroveStairs', 'BiomesOPlenty:mangroveStairs', 'namespace') 
3531 -> 1235 # ('tile.bop.mudBricksStairs', 'BiomesOPlenty:mudBricksStairs', 'namespace') 
3550 -> 3535 # ('tile.campfire', 'erebus:fireBloom', 'manual') 
3551 -> 2773 # ('tile.tent', 'cfm:freezer', 'manual') 
3552 -> 3822 # ('tile.ghostBlock', 'ForgottenNature:falseBlock', 'manual') 
3553 -> 3205 # ('tile.radishCrop', 'thebetweenlands:fungusCrop', 'manual') 
3611 -> 475 # ('tile.markShip', 'ArchimedesShips:marker', 'manual') 
3612 -> 476 # ('tile.archiFloater', 'ArchimedesShips:floater', 'manual') 
3613 -> 477 # ('tile.archiBalloon', 'ArchimedesShips:balloon', 'manual') 
3614 -> 478 # ('tile.archiGauge', 'ArchimedesShips:gauge', 'manual') 
# 3625 -> (None, 'tile.Atum:AtumBrickCarved', 'atum:tile.atumBrickCarved', 'no match')
3626 -> 518 # ('tile.Atum:AtumCoal', 'atum:tile.coalOre', 'manual') 
3627 -> 490 # ('tile.Atum:AtumCobble', 'atum:tile.cobble', 'manual') 
# 3628 -> (None, 'tile.Atum:CobbleStair', 'atum:tile.cobbleStair', 'no match')
3629 -> 500 # ('tile.Atum:AtumCrystalGlass', 'atum:tile.crystalGlass', 'manual') 
3630 -> 513 # ('tile.thinCrystalGlass', 'atum:tile.thinCrystalGlass', 'anyspace') 
# 3631 -> (None, 'tile.AtumCursedChest', 'tile.AtumCursedChest', 'no match')
# 3632 -> (None, 'tile.Atum:AtumDate', 'atum:tile.atumDate', 'no match')
3633 -> 505 # ('tile.Atum:Weed', 'atum:tile.weed', 'namespace') 
3634 -> 504 # ('tile.Atum:Shrub', 'atum:tile.shrub', 'namespace') 
# 3635 -> (None, 'tile.Atum:AtumDiamond', 'atum:tile.atumDiamond', 'no match')
# 3636 -> (None, 'tile.Atum:AtumDoubleSlab', 'atum:tile.atumDoubleSlab', 'no match')
3637 -> 508 # ('tile.Atum:FertileSoil', 'atum:tile.fertileSoil', 'namespace') 
3638 -> 509 # ('tile.Atum:FertileSoilTilled', 'atum:tile.fertileSoilTilled', 'namespace') 
# 3639 -> (None, 'tile.FireTrap', 'tile.FireTrap', 'no match')
3640 -> 507 # ('tile.Atum:FlaxBlock', 'atum:tile.flax', 'manual') 
3641 -> 514 # ('tile.thinFramedGlass', 'atum:tile.thinFramedGlass', 'anyspace') 
# 3642 -> (None, 'tile.Atum:AtumFramedGlass', 'atum:tile.atumFramedGlass', 'no match')
# 3643 -> (None, 'tile.Atum:AtumGold', 'atum:tile.atumGold', 'no match')
3644 -> 519 # ('tile.Atum:AtumIron', 'atum:tile.ironOre', 'manual') 
# 3645 -> (None, 'tile.Atum:AtumLapis', 'atum:tile.atumLapis', 'no match')
# 3646 -> (None, 'tile.Atum:AtumCrackedLargeBrick', 'atum:tile.atumCrackedLargeBrick', 'no match')
# 3647 -> (None, 'tile.Atum:LargeStoneStair', 'atum:tile.largeStoneStair', 'no match')
# 3648 -> (None, 'tile.Atum:AtumStone', 'atum:tile.atumStone', 'no match')
# 3649 -> (None, 'tile.limestonefurnaceactive', 'tile.limestonefurnaceactive', 'no match')
# 3650 -> (None, 'tile.limestonefurnaceidle', 'tile.limestonefurnaceidle', 'no match')
# 3651 -> (None, 'tile.Atum:AtumSlab', 'atum:tile.atumSlab', 'no match')
# 3652 -> (None, 'tile.Atum:SmoothStair', 'atum:tile.smoothStair', 'no match')
# 3653 -> (None, 'tile.Atum:AtumStoneWall', 'atum:tile.atumStoneWall', 'no match')
# 3654 -> (None, 'tile.AtumLeaves', 'tile.AtumLeaves', 'no match')
# 3655 -> (None, 'tile.AtumLogs', 'tile.AtumLogs', 'no match')
# 3656 -> (None, 'tile.Atum:Planks', 'atum:tile.planks', 'no match')
# 3657 -> (None, 'tile.Atum:AtumPalmSapling', 'atum:tile.atumPalmSapling', 'no match')
# 3658 -> (None, 'tile.Atum:AtumPapyrus', 'atum:tile.atumPapyrus', 'no match')
3659 -> 516 # ('tile.AtumPharaohChest', 'atum:tile.pharaohChest', 'manual') 
3660 -> 486 # ('tile.null_______________________________________________', 'Atum Portal Block/atum:tile.portal', 'direct') 
# 3661 -> (None, 'tile.Atum:AtumRedstone', 'atum:tile.atumRedstone', 'no match')
3662 -> 491 # ('tile.Atum:AtumBrickSmall', 'atum:tile.smallBrick', 'manual') 
3663 -> 497 # ('tile.Atum:SmallStoneStair', 'atum:tile.smallStairs', 'manual') 
3664 -> 488 # ('tile.Atum:AtumSand', 'atum:tile.sand', 'manual') 
# 3665 -> (None, 'tile.Atum:AtumBrickLarge', 'atum:tile.atumBrickLarge', 'no match')
# 3666 -> (None, 'tile.SandLayered', 'tile.SandLayered', 'no match')
# 3700 -> (None, 'tile.planks___', 'tile.planks___', 'no match')
# 3701 -> (None, 'tile.fence_', 'tile.fence_', 'no match')
# 3702 -> (None, 'tile.stairs', 'tile.stairs', 'no match')
# 3703 -> (None, 'tile.carpentry', 'tile.carpentry', 'no match')
# 3704 -> (None, 'tile.log', 'tile.log', 'no match')
# 3705 -> (None, 'tile.extratrees.block.machine', 'tile.extratrees.block.machine', 'no match')
